path,domain,domain_label,split
photo/person/253_0311.jpg,photo,0,train
photo/elephant/n02503517_10193.jpg,photo,0,train
photo/house/pic_004.jpg,photo,0,train
photo/giraffe/084_0045.jpg,photo,0,train
photo/house/pic_067.jpg,photo,0,train
photo/dog/056_0062.jpg,photo,0,train
photo/horse/n02374451_11492.jpg,photo,0,test
photo/elephant/064_0072.jpg,photo,0,test
photo/house/pic_015.jpg,photo,0,train
photo/elephant/n02503517_8571.jpg,photo,0,test
photo/person/253_0145.jpg,photo,0,train
photo/person/253_0429.jpg,photo,0,train
photo/person/253_0147.jpg,photo,0,test
photo/horse/105_0076.jpg,photo,0,train
photo/horse/n02374451_1234.jpg,photo,0,train
photo/person/253_0267.jpg,photo,0,train
photo/guitar/063_0095.jpg,photo,0,train
photo/person/253_0168.jpg,photo,0,test
photo/guitar/n03467517_12925.jpg,photo,0,train
photo/dog/056_0090.jpg,photo,0,train
photo/house/pic_106.jpg,photo,0,test
photo/giraffe/n02439033_10453.jpg,photo,0,train
photo/house/pic_160.jpg,photo,0,train
photo/horse/105_0260.jpg,photo,0,train
photo/house/pic_195.jpg,photo,0,train
photo/giraffe/084_0029.jpg,photo,0,test
photo/dog/056_0084.jpg,photo,0,train
photo/dog/n02103406_4916.jpg,photo,0,train
photo/person/253_0123.jpg,photo,0,test
photo/person/253_0242.jpg,photo,0,train
photo/guitar/063_0067.jpg,photo,0,train
photo/elephant/064_0111.jpg,photo,0,train
photo/guitar/n02676566_4189.jpg,photo,0,train
photo/horse/n02374451_13718.jpg,photo,0,test
photo/person/253_0290.jpg,photo,0,train
photo/guitar/063_0090.jpg,photo,0,train
photo/giraffe/084_0047.jpg,photo,0,train
photo/person/253_0063.jpg,photo,0,train
photo/person/253_0434.jpg,photo,0,train
photo/house/pic_013.jpg,photo,0,train
photo/house/pic_080.jpg,photo,0,train
photo/giraffe/n02439033_14148.jpg,photo,0,train
photo/person/253_0256.jpg,photo,0,train
photo/guitar/063_0022.jpg,photo,0,train
photo/dog/n02103406_3132.jpg,photo,0,train
photo/elephant/n02503517_6880.jpg,photo,0,train
photo/elephant/064_0016.jpg,photo,0,train
photo/horse/n02374451_10761.jpg,photo,0,train
photo/person/253_0248.jpg,photo,0,train
photo/horse/105_0106.jpg,photo,0,train
photo/house/pic_229.jpg,photo,0,train
photo/person/253_0253.jpg,photo,0,train
photo/elephant/064_0115.jpg,photo,0,train
photo/guitar/n03272010_7092.jpg,photo,0,train
photo/guitar/n02676566_8997.jpg,photo,0,test
photo/elephant/n02503517_1453.jpg,photo,0,train
photo/elephant/n02503517_3803.jpg,photo,0,test
photo/person/253_0361.jpg,photo,0,train
photo/person/253_0294.jpg,photo,0,train
photo/horse/n02374451_1443.jpg,photo,0,train
photo/dog/056_0071.jpg,photo,0,train
photo/person/253_0174.jpg,photo,0,train
photo/house/pic_038.jpg,photo,0,test
photo/person/253_0395.jpg,photo,0,train
photo/person/253_0266.jpg,photo,0,test
photo/elephant/n02503517_9827.jpg,photo,0,train
photo/dog/056_0058.jpg,photo,0,test
photo/dog/056_0073.jpg,photo,0,test
photo/dog/056_0095.jpg,photo,0,test
photo/guitar/063_0038.jpg,photo,0,test
photo/house/pic_234.jpg,photo,0,train
photo/guitar/063_0053.jpg,photo,0,train
photo/person/253_0017.jpg,photo,0,train
photo/person/253_0034.jpg,photo,0,train
photo/dog/056_0043.jpg,photo,0,test
photo/person/253_0193.jpg,photo,0,test
photo/elephant/064_0008.jpg,photo,0,test
photo/house/pic_250.jpg,photo,0,train
photo/elephant/n02503517_8901.jpg,photo,0,test
photo/dog/n02106662_1922.jpg,photo,0,test
photo/house/pic_028.jpg,photo,0,train
photo/elephant/064_0044.jpg,photo,0,test
photo/horse/n02374451_503.jpg,photo,0,train
photo/house/pic_050.jpg,photo,0,train
photo/elephant/064_0070.jpg,photo,0,train
photo/person/253_0211.jpg,photo,0,test
photo/guitar/n02676566_6704.jpg,photo,0,test
photo/guitar/n03272010_10795.jpg,photo,0,test
photo/horse/105_0215.jpg,photo,0,train
photo/house/pic_112.jpg,photo,0,train
photo/house/pic_281.jpg,photo,0,train
photo/house/pic_188.jpg,photo,0,train
photo/person/253_0050.jpg,photo,0,train
photo/guitar/n03272010_6820.jpg,photo,0,test
photo/elephant/n02503517_184.jpg,photo,0,test
photo/dog/n02106662_27393.jpg,photo,0,train
photo/dog/n02103406_3538.jpg,photo,0,train
photo/house/pic_034.jpg,photo,0,train
photo/giraffe/n02439033_12987.jpg,photo,0,train
photo/person/253_0055.jpg,photo,0,test
photo/horse/105_0103.jpg,photo,0,train
photo/elephant/064_0097.jpg,photo,0,train
photo/person/253_0196.jpg,photo,0,train
photo/elephant/064_0004.jpg,photo,0,train
photo/giraffe/n02439033_14872.jpg,photo,0,train
photo/person/253_0386.jpg,photo,0,test
photo/giraffe/n02439033_11486.jpg,photo,0,train
photo/house/pic_077.jpg,photo,0,train
photo/guitar/n02676566_7830.jpg,photo,0,train
photo/person/253_0045.jpg,photo,0,train
photo/house/pic_284.jpg,photo,0,test
photo/elephant/064_0127.jpg,photo,0,train
photo/horse/105_0066.jpg,photo,0,train
photo/elephant/n02503517_4605.jpg,photo,0,test
photo/person/253_0374.jpg,photo,0,train
photo/dog/n02103406_5456.jpg,photo,0,train
photo/giraffe/n02439033_11683.jpg,photo,0,train
photo/elephant/064_0062.jpg,photo,0,test
photo/dog/n02109525_12875.jpg,photo,0,train
photo/person/253_0166.jpg,photo,0,train
photo/giraffe/n02439033_15479.jpg,photo,0,test
photo/person/253_0246.jpg,photo,0,test
photo/person/253_0327.jpg,photo,0,train
photo/elephant/n02503517_753.jpg,photo,0,train
photo/dog/n02103406_371.jpg,photo,0,test
photo/giraffe/084_0060.jpg,photo,0,test
photo/dog/056_0080.jpg,photo,0,train
photo/person/253_0417.jpg,photo,0,train
photo/giraffe/n02439033_11114.jpg,photo,0,train
photo/guitar/063_0093.jpg,photo,0,train
photo/house/pic_094.jpg,photo,0,train
photo/horse/n02374451_9892.jpg,photo,0,train
photo/person/253_0221.jpg,photo,0,train
photo/giraffe/n02439033_991.jpg,photo,0,train
photo/guitar/n02676566_7844.jpg,photo,0,train
photo/person/253_0300.jpg,photo,0,train
photo/person/253_0139.jpg,photo,0,test
photo/person/253_0006.jpg,photo,0,test
photo/guitar/063_0074.jpg,photo,0,train
photo/house/pic_046.jpg,photo,0,test
photo/person/253_0153.jpg,photo,0,train
photo/dog/056_0082.jpg,photo,0,train
photo/horse/105_0207.jpg,photo,0,test
photo/horse/n02374451_7631.jpg,photo,0,test
photo/person/253_0195.jpg,photo,0,train
photo/giraffe/084_0028.jpg,photo,0,train
photo/person/253_0082.jpg,photo,0,train
photo/giraffe/n02439033_10130.jpg,photo,0,train
photo/dog/056_0075.jpg,photo,0,test
