path,domain_label,split
cartoon/horse/pic_026.jpg,0,train
cartoon/elephant/pic_334.jpg,0,train
cartoon/person/pic_203.jpg,0,test
photo/person/253_0075.jpg,0,test
art_painting/house/pic_298.jpg,0,train
photo/person/253_0300.jpg,0,train
cartoon/dog/pic_430.jpg,0,test
art_painting/elephant/pic_048.jpg,0,train
art_painting/elephant/pic_090.jpg,0,test
cartoon/giraffe/pic_005.jpg,0,train
art_painting/person/pic_070.jpg,0,test
cartoon/elephant/pic_147.jpg,0,test
art_painting/person/pic_183.jpg,0,train
art_painting/dog/pic_134.jpg,0,train
art_painting/giraffe/pic_293.jpg,0,train
photo/horse/105_0030.jpg,0,train
cartoon/elephant/pic_501.jpg,0,test
cartoon/guitar/pic_069.jpg,0,train
art_painting/giraffe/pic_094.jpg,0,train
art_painting/horse/pic_128.jpg,0,train
photo/elephant/064_0114.jpg,0,train
art_painting/giraffe/pic_190.jpg,0,train
art_painting/dog/pic_274.jpg,0,test
photo/person/253_0417.jpg,0,test
cartoon/horse/pic_147.jpg,0,train
photo/person/253_0084.jpg,0,train
photo/house/pic_049.jpg,0,train
photo/dog/056_0073.jpg,0,train
cartoon/elephant/pic_047.jpg,0,train
photo/elephant/n02503517_184.jpg,0,train
cartoon/person/pic_070.jpg,0,test
cartoon/dog/pic_210.jpg,0,train
cartoon/horse/pic_118.jpg,0,train
art_painting/elephant/pic_086.jpg,0,test
art_painting/person/pic_303.jpg,0,test
cartoon/giraffe/pic_317.jpg,0,train
art_painting/dog/pic_154.jpg,0,train
cartoon/giraffe/pic_105.jpg,0,train
cartoon/dog/pic_354.jpg,0,train
art_painting/person/pic_196.jpg,0,train
cartoon/giraffe/pic_127.jpg,0,test
art_painting/person/pic_242.jpg,0,train
photo/person/253_0058.jpg,0,train
art_painting/person/pic_168.jpg,0,train
art_painting/giraffe/pic_086.jpg,0,train
cartoon/person/pic_314.jpg,0,train
art_painting/person/pic_327.jpg,0,train
cartoon/guitar/pic_024.jpg,0,train
art_painting/dog/pic_260.jpg,0,train
photo/guitar/n02676566_7844.jpg,0,train
cartoon/elephant/pic_374.jpg,0,train
photo/dog/056_0095.jpg,0,train
cartoon/horse/pic_092.jpg,0,train
photo/person/253_0290.jpg,0,test
art_painting/person/pic_400.jpg,0,train
cartoon/giraffe/pic_305.jpg,0,train
cartoon/horse/pic_257.jpg,0,train
cartoon/person/pic_036.jpg,0,train
photo/elephant/n02503517_1453.jpg,0,test
art_painting/elephant/pic_152.jpg,0,train
cartoon/house/pic_311.jpg,0,train
art_painting/dog/pic_079.jpg,0,train
cartoon/giraffe/pic_248.jpg,0,train
photo/person/253_0146.jpg,0,test
cartoon/dog/pic_135.jpg,0,train
art_painting/dog/pic_268.jpg,0,train
art_painting/house/pic_221.jpg,0,train
photo/person/253_0145.jpg,0,train
art_painting/dog/pic_073.jpg,0,train
cartoon/house/pic_228.jpg,0,test
cartoon/horse/pic_186.jpg,0,train
cartoon/house/pic_277.jpg,0,test
cartoon/person/pic_197.jpg,0,train
art_painting/dog/pic_026.jpg,0,train
photo/giraffe/084_0020.jpg,0,test
cartoon/person/pic_224.jpg,0,train
cartoon/giraffe/pic_254.jpg,0,train
photo/person/253_0348.jpg,0,train
cartoon/person/pic_020.jpg,0,test
photo/elephant/064_0097.jpg,0,train
cartoon/elephant/pic_354.jpg,0,train
art_painting/person/pic_160.jpg,0,test
photo/person/253_0034.jpg,0,train
photo/person/253_0045.jpg,0,test
photo/dog/n02103406_3132.jpg,0,train
cartoon/house/pic_108.jpg,0,test
photo/horse/105_0048.jpg,0,test
cartoon/guitar/pic_046.jpg,0,train
cartoon/house/pic_014.jpg,0,train
cartoon/elephant/pic_257.jpg,0,train
photo/person/253_0281.jpg,0,train
cartoon/horse/pic_293.jpg,0,train
cartoon/giraffe/pic_369.jpg,0,test
photo/giraffe/084_0012.jpg,0,train
cartoon/horse/pic_021.jpg,0,test
photo/person/253_0287.jpg,0,test
photo/guitar/063_0052.jpg,0,test
cartoon/house/pic_217.jpg,0,train
photo/elephant/064_0127.jpg,0,train
art_painting/person/pic_069.jpg,0,test
cartoon/dog/pic_038.jpg,0,train
photo/person/253_0050.jpg,0,train
art_painting/person/pic_194.jpg,0,test
cartoon/dog/pic_310.jpg,0,train
photo/house/pic_188.jpg,0,train
cartoon/elephant/pic_435.jpg,0,train
art_painting/dog/pic_295.jpg,0,train
cartoon/giraffe/pic_143.jpg,0,train
photo/house/pic_004.jpg,0,train
cartoon/giraffe/pic_260.jpg,0,train
cartoon/horse/pic_357.jpg,0,train
photo/house/pic_013.jpg,0,train
photo/horse/n02374451_7631.jpg,0,train
cartoon/horse/pic_051.jpg,0,train
cartoon/elephant/pic_173.jpg,0,train
art_painting/person/pic_273.jpg,0,test
photo/giraffe/n02439033_5652.jpg,0,test
art_painting/guitar/pic_142.jpg,0,test
photo/house/pic_146.jpg,0,train
photo/house/pic_067.jpg,0,test
cartoon/elephant/pic_180.jpg,0,train
art_painting/giraffe/pic_185.jpg,0,test
photo/house/pic_015.jpg,0,train
photo/giraffe/n02439033_1508.jpg,0,test
photo/person/253_0395.jpg,0,test
photo/dog/056_0030.jpg,0,test
cartoon/person/pic_061.jpg,0,test
photo/elephant/064_0011.jpg,0,test
photo/person/253_0361.jpg,0,train
photo/dog/056_0052.jpg,0,train
cartoon/dog/pic_425.jpg,0,train
art_painting/giraffe/pic_052.jpg,0,train
art_painting/dog/pic_393.jpg,0,train
photo/dog/056_0071.jpg,0,train
art_painting/house/pic_123.jpg,0,test
cartoon/house/pic_011.jpg,0,train
photo/person/253_0434.jpg,0,train
cartoon/elephant/pic_130.jpg,0,test
art_painting/person/pic_433.jpg,0,train
photo/house/pic_046.jpg,0,test
photo/person/253_0102.jpg,0,test
cartoon/dog/pic_325.jpg,0,train
cartoon/horse/pic_347.jpg,0,test
cartoon/dog/pic_282.jpg,0,train
photo/horse/n02374451_17474.jpg,0,test
art_painting/house/pic_315.jpg,0,train
photo/house/pic_184.jpg,0,train
photo/guitar/063_0046.jpg,0,test
art_painting/person/pic_208.jpg,0,test
photo/dog/n02106662_25917.jpg,0,train
cartoon/horse/pic_345.jpg,0,train
photo/dog/056_0042.jpg,0,test
photo/giraffe/084_0028.jpg,0,train
cartoon/person/pic_225.jpg,0,train
art_painting/horse/pic_219.jpg,0,train
art_painting/giraffe/pic_309.jpg,0,test
cartoon/person/pic_079.jpg,0,train
cartoon/house/pic_147.jpg,0,test
cartoon/dog/pic_317.jpg,0,train
photo/person/253_0082.jpg,0,train
photo/elephant/n02503517_5418.jpg,0,train
art_painting/elephant/pic_132.jpg,0,train
cartoon/giraffe/pic_100.jpg,0,train
photo/person/253_0033.jpg,0,train
art_painting/dog/pic_058.jpg,0,train
art_painting/person/pic_435.jpg,0,train
cartoon/elephant/pic_296.jpg,0,test
art_painting/person/pic_487.jpg,0,train
art_painting/dog/pic_349.jpg,0,train
art_painting/elephant/pic_207.jpg,0,train
art_painting/dog/pic_074.jpg,0,train
art_painting/horse/pic_135.jpg,0,train
cartoon/elephant/pic_244.jpg,0,train
cartoon/elephant/pic_400.jpg,0,test
photo/person/253_0017.jpg,0,test
art_painting/elephant/pic_100.jpg,0,test
cartoon/elephant/pic_319.jpg,0,train
art_painting/house/pic_330.jpg,0,train
art_painting/guitar/pic_071.jpg,0,train
cartoon/elephant/pic_113.jpg,0,train
cartoon/house/pic_012.jpg,0,test
photo/elephant/064_0070.jpg,0,train
cartoon/person/pic_044.jpg,0,train
art_painting/dog/pic_384.jpg,0,train
photo/giraffe/084_0074.jpg,0,train
cartoon/dog/pic_171.jpg,0,train
cartoon/elephant/pic_320.jpg,0,train
art_painting/person/pic_543.jpg,0,train
art_painting/person/pic_277.jpg,0,test
cartoon/guitar/pic_011.jpg,0,test
cartoon/dog/pic_180.jpg,0,train
cartoon/guitar/pic_016.jpg,0,train
cartoon/person/pic_094.jpg,0,train
cartoon/guitar/pic_068.jpg,0,train
cartoon/guitar/pic_004.jpg,0,test
photo/house/pic_173.jpg,0,train
art_painting/horse/pic_008.jpg,0,test
