index,label,mls,msp,energy,mahalanobis
52,9,-5.482758522033691,0.13224874907710915,-5.624608704704369,3020.3188125183024
76,82,-5.099347114562988,0.08487094383141602,-5.188037293222526,2816.8852309891327
125,20,-5.572911739349365,0.04814967807689463,-5.622259220771951,2567.674036013749
271,51,-6.438562393188477,0.10110832145109316,-6.5451551360054445,3112.725543454635
365,10,-6.565963268280029,0.11191557620590298,-6.684651736948838,3310.490398623559
378,94,-5.738175392150879,0.2576397882026584,-6.036096085120214,3759.0238806353227
439,10,-4.953606128692627,0.11526724723980109,-5.07607578255251,2983.5546238901043
621,39,-5.525601863861084,0.05670648582746951,-5.583979652889488,2846.7373749921144
649,22,-5.730107307434082,0.14101994298438514,-5.882116881214143,2913.0423563174772
665,82,-7.106218338012695,0.04739209394140331,-7.15477022920986,3120.8706552062285
771,39,-8.846843719482422,0.0086061220497754,-8.85548708805327,3115.6792010948107
786,22,-5.650073051452637,0.09496772244984986,-5.749857721569587,3394.224255225604
806,10,-5.863337993621826,0.45280202531751246,-6.466282607540617,4990.261698735974
839,39,-5.5374064445495605,0.11253884244340007,-5.656796969273301,4158.571147254403
864,9,-5.26657247543335,0.047919038877647036,-5.31567768004434,2655.7911749210525
874,10,-4.549365520477295,0.13833115070632596,-4.698249768158811,2706.333338689621
934,22,-4.81581449508667,0.20712226737539707,-5.047900747644755,2982.051991325732
953,51,-5.159589767456055,0.09447588886307623,-5.2588311420402665,2647.9473099342904
1002,94,-6.579154968261719,0.05156561732631715,-6.632097640363387,3286.9471776394885
1135,9,-5.6119704246521,0.04899349708256817,-5.662204803133853,1976.086941746348
1138,51,-5.4986186027526855,0.10882984592812728,-5.613838502718785,3604.1994980555937
1264,39,-5.672406196594238,0.1080877997715145,-5.786793778078064,3077.2277349560254
1310,22,-4.582874774932861,0.11209253948282549,-4.701762527482494,3204.81899887271
1318,9,-6.623084545135498,0.20182470965226018,-6.848511588700111,5123.186716041987
1341,20,-4.876283645629883,0.1660407267426396,-5.057854356470392,2938.8036699505114
1362,94,-5.838324069976807,0.028639929533156527,-5.867382125032304,2819.4852220398734
1428,22,-6.034390926361084,0.22002913981091698,-6.282889645089384,3271.082041444649
1470,94,-5.14049768447876,0.12997435586342465,-5.279730276227625,3054.1337502465203
1484,51,-5.25739860534668,0.12795041164257281,-5.394307594654355,2886.020434611141
1508,94,-5.986832618713379,0.10959330596089023,-6.102909579749065,3823.9063426172042
1525,20,-5.492299556732178,0.1744175091449509,-5.683965648994064,4383.785270983515
1546,39,-4.942323207855225,0.17840566300547733,-5.138831720901925,4049.7081283718776
1599,39,-4.8743696212768555,0.1271930567570353,-5.010410510635471,5150.905171871453
1641,94,-6.8403801918029785,0.20762953445270482,-7.073106428806662,3340.2952825080556
1642,39,-5.452374458312988,0.1671107098282656,-5.63522900891683,3237.485254763261
1680,10,-6.2628068923950195,0.1173864165472217,-6.387674684389599,3684.73745187749
1696,10,-6.549401760101318,0.45183340928370797,-7.150577800675898,4236.538361785801
1782,51,-5.786644458770752,0.027711302518572012,-5.8147469635225555,1406.3662216639602
1792,20,-5.867466449737549,0.09945667409279002,-5.972223452093714,3931.3661510419474
1809,10,-5.260791778564453,0.13537871767192367,-5.406255470385756,2978.784646982807
1875,22,-4.7236247062683105,0.16096186799339185,-4.899123830463698,2765.4766852520966
1944,94,-6.921477317810059,0.29883057296092763,-7.276483045609708,4565.1472322205045
1987,51,-5.618849277496338,0.18948588297228564,-5.828935797776806,2921.3791576750327
2037,39,-4.587954044342041,0.1623612616115615,-4.7651224155674505,4053.649041767951
2038,82,-6.497054576873779,0.3153312511210924,-6.875874712834342,4425.880924362964
2086,20,-7.885908603668213,0.020914447023009486,-7.9070448558102875,3242.4474908502016
2161,20,-4.921844005584717,0.11100708701511808,-5.039510020980246,2628.028740587566
2189,22,-5.643545150756836,0.16598994107123521,-5.825054966387295,3630.649433009451
2223,22,-5.61714506149292,0.08628356815932936,-5.7073800667855545,3245.4819327558143
2384,51,-5.665719032287598,0.0675405732983837,-5.735648670937915,3208.9219365570843
2386,20,-5.5329413414001465,0.045619702529941075,-5.579634393703054,2136.883450547286
2425,10,-5.899229526519775,0.03935877480789951,-5.939383801106173,2197.475648730881
2446,82,-5.576231002807617,0.0808858165545503,-5.660575919659819,2681.8005322129816
2463,22,-5.900546550750732,0.15461186747846267,-6.068505979406851,3741.3037358415177
2510,9,-5.254635334014893,0.08715076659105159,-5.345819879215539,3487.4038635541315
2533,22,-5.313649654388428,0.17311683205807438,-5.50374152046466,4051.2273179596214
2545,82,-7.322874546051025,0.045133952026901625,-7.369058758292848,3637.1189253416164
2577,20,-6.991626739501953,0.1626917831793332,-7.169189775849185,3428.122418318612
2579,51,-6.877810001373291,0.1787372734321655,-7.074722214094841,3376.962014668487
2684,20,-5.540197849273682,0.05958649006904171,-5.601633445539377,2673.998531781537
2715,94,-5.910903453826904,0.44701782168919213,-6.503332959092078,4089.2300039084485
2740,82,-5.740363121032715,0.10720315128875313,-5.8537593380633375,2601.2785738192388
2797,10,-6.136132717132568,0.06350249342010406,-6.201741136722205,3158.6259589127535
2811,82,-5.364645481109619,0.09974489849903856,-5.4697225908185265,2448.3886700570956
2822,9,-4.9935994148254395,0.08511871734233212,-5.082560382679085,2724.032048444629
2936,22,-5.253934860229492,0.1206212512854421,-5.3824744484215055,3159.8209097127656
2945,22,-4.26781702041626,0.14831726828679803,-4.428358222538268,2634.014049986071
2963,9,-5.498419761657715,0.048955069296487075,-5.548613733465488,2536.172348743614
2980,51,-5.732624530792236,0.37541547115112217,-6.203293134926569,3775.681165911087
3011,9,-5.0838541984558105,0.14106080799344234,-5.2359113472416094,3154.823539710781
3015,94,-5.429300308227539,0.14454656336510197,-5.5854239236054575,3109.3424483377967
3039,51,-5.9163432121276855,0.2617547024278113,-6.219822340201724,3713.9488025136866
3078,10,-5.539710521697998,0.11694861619261898,-5.664082409461942,4725.889731441528
3089,82,-5.263515472412109,0.07581785904005878,-5.342361576927582,2555.7906515042027
